Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
701,64,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
702,93,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
703,106,0.0%,Plumbing,New Building,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
704,82,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
705,85,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
706,105,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
707,98,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
708,163,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
709,91,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
710,64,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
711,159,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
712,110,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
713,72,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
714,50,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
715,56,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
716,73,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
717,164,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
718,106,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
719,59,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
720,58,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
721,279,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
722,103,0.0%,Plumbing,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Plumbing
723,84,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
724,605,0.0%,Equipment,Alteration Type 3,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment
725,84,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
726,175,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
727,96,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
728,54,0.0%,New Building,New Building,100.0%,2006,2,Specialized/Rare Residential - New Building
729,70,0.0%,Plumbing,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Plumbing
730,62,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
731,52,0.0%,New Building,New Building,100.0%,2006,N/A,Specialized/Rare Residential - New Building
732,212,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
733,148,0.0%,Plumbing,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Plumbing
734,90,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
735,66,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
